id_last_2,xx1_last_2,xx2_last_2,xx3_last_2,id_last_1,xx1_last_1,xx2_last_1,xx3_last_1,id_current,xx1_current,xx2_current,xx3_current,id_next,xx1_next,xx2_next,xx3_next,rs_number_next
232137,1.0,1.0,0.6,232138,0.0,0.2,0.4,232139,0.0,0.4,0.4,232140,0.6,0.8,0.8,1
232138,0.0,0.2,0.4,232139,0.0,0.4,0.4,232140,0.6,0.8,0.8,232141,0.8,0.4,0.6,1
232139,0.0,0.4,0.4,232140,0.6,0.8,0.8,232141,0.8,0.4,0.6,232142,1.0,0.4,1.0,1
232140,0.6,0.8,0.8,232141,0.8,0.4,0.6,232142,1.0,0.4,1.0,232143,0.2,1.0,0.0,0
232141,0.8,0.4,0.6,232142,1.0,0.4,1.0,232143,0.2,1.0,0.0,232144,0.2,0.0,0.2,0
232142,1.0,0.4,1.0,232143,0.2,1.0,0.0,232144,0.2,0.0,0.2,232145,0.6,0.6,0.8,1
232143,0.2,1.0,0.0,232144,0.2,0.0,0.2,232145,0.6,0.6,0.8,232146,0.4,1.0,0.0,0
232144,0.2,0.0,0.2,232145,0.6,0.6,0.8,232146,0.4,1.0,0.0,232147,1.0,0.6,0.8,1
232145,0.6,0.6,0.8,232146,0.4,1.0,0.0,232147,1.0,0.6,0.8,232148,0.6,0.4,0.4,0
232146,0.4,1.0,0.0,232147,1.0,0.6,0.8,232148,0.6,0.4,0.4,232149,0.0,0.6,0.6,0
232147,1.0,0.6,0.8,232148,0.6,0.4,0.4,232149,0.0,0.6,0.6,232150,0.6,0.2,0.8,1
232148,0.6,0.4,0.4,232149,0.0,0.6,0.6,232150,0.6,0.2,0.8,232151,0.6,0.0,1.0,1
232149,0.0,0.6,0.6,232150,0.6,0.2,0.8,232151,0.6,0.0,1.0,232152,1.0,0.4,1.0,1
232150,0.6,0.2,0.8,232151,0.6,0.0,1.0,232152,1.0,0.4,1.0,232153,0.4,0.6,1.0,1
232151,0.6,0.0,1.0,232152,1.0,0.4,1.0,232153,0.4,0.6,1.0,232154,0.8,0.4,0.2,0
232152,1.0,0.4,1.0,232153,0.4,0.6,1.0,232154,0.8,0.4,0.2,232155,1.0,0.0,0.0,0
232153,0.4,0.6,1.0,232154,0.8,0.4,0.2,232155,1.0,0.0,0.0,232156,0.0,0.6,0.8,0
232154,0.8,0.4,0.2,232155,1.0,0.0,0.0,232156,0.0,0.6,0.8,232157,1.0,1.0,0.6,1
232155,1.0,0.0,0.0,232156,0.0,0.6,0.8,232157,1.0,1.0,0.6,232158,1.0,0.6,1.0,1
232156,0.0,0.6,0.8,232157,1.0,1.0,0.6,232158,1.0,0.6,1.0,232159,1.0,0.8,0.6,1
232157,1.0,1.0,0.6,232158,1.0,0.6,1.0,232159,1.0,0.8,0.6,232160,0.8,0.8,0.4,1
232158,1.0,0.6,1.0,232159,1.0,0.8,0.6,232160,0.8,0.8,0.4,232161,0.0,0.6,0.6,0
232159,1.0,0.8,0.6,232160,0.8,0.8,0.4,232161,0.0,0.6,0.6,232162,1.0,0.6,0.2,1
232160,0.8,0.8,0.4,232161,0.0,0.6,0.6,232162,1.0,0.6,0.2,232163,1.0,0.8,1.0,1
232161,0.0,0.6,0.6,232162,1.0,0.6,0.2,232163,1.0,0.8,1.0,232164,0.2,0.2,1.0,0
232162,1.0,0.6,0.2,232163,1.0,0.8,1.0,232164,0.2,0.2,1.0,232165,1.0,0.8,1.0,1
232163,1.0,0.8,1.0,232164,0.2,0.2,1.0,232165,1.0,0.8,1.0,232166,0.0,1.0,0.2,0
232164,0.2,0.2,1.0,232165,1.0,0.8,1.0,232166,0.0,1.0,0.2,232167,0.8,0.4,0.4,1
232165,1.0,0.8,1.0,232166,0.0,1.0,0.2,232167,0.8,0.4,0.4,232168,0.4,0.8,0.6,1
232166,0.0,1.0,0.2,232167,0.8,0.4,0.4,232168,0.4,0.8,0.6,232169,0.6,0.4,0.6,1
232167,0.8,0.4,0.4,232168,0.4,0.8,0.6,232169,0.6,0.4,0.6,232170,0.0,0.8,0.4,0
232168,0.4,0.8,0.6,232169,0.6,0.4,0.6,232170,0.0,0.8,0.4,232171,0.8,1.0,0.0,1
232169,0.6,0.4,0.6,232170,0.0,0.8,0.4,232171,0.8,1.0,0.0,232172,0.4,1.0,0.2,1
232170,0.0,0.8,0.4,232171,0.8,1.0,0.0,232172,0.4,1.0,0.2,232173,0.8,0.2,0.6,1
232171,0.8,1.0,0.0,232172,0.4,1.0,0.2,232173,0.8,0.2,0.6,232174,0.2,1.0,0.6,1
232172,0.4,1.0,0.2,232173,0.8,0.2,0.6,232174,0.2,1.0,0.6,232175,0.2,0.0,0.6,0
